,D1,D2,D3
T0859,30,30,30
T0860,30,30,30
T0861,30,30,30
T0862,30,30,30
T0863,30,30,30
T0864,30,30,30
T0865,30,30,30
T0866,30,30,30
T0867,30,30,30
T0868,30,30,30
T0869,30,30,30
T0870,30,30,30
T0871,30,30,30
T0872,30,30,30
T0873,30,30,30
T0874,30,30,30
T0875,30,30,30
T0876,30,30,30
T0877,30,30,30
T0878,30,30,30
T0879,30,30,30
T0880,30,30,30
T0881,30,30,30
T0882,30,30,30
T0883,30,30,30
T0884,30,30,30
T0885,30,30,30
T0886,30,30,30
T0887,30,30,30
T0888,30,30,30
T0889,30,30,30
T0890,30,30,30
T0891,30,30,30
T0892,30,30,30
T0893,30,30,30
T0894,30,30,30
T0895,30,30,30
T0896,30,30,30
T0897,30,30,30
T0898,30,30,30
T0899,30,30,30
T0900,30,30,30
T0901,30,30,30
T0902,30,30,30
T0903,30,30,30
T0904,30,30,30
T0905,30,30,30
T0906,30,30,30
T0907,30,30,30
T0908,30,30,30
T0909,30,30,30
T0910,30,30,30
T0911,30,30,30
T0912,30,30,30
T0913,30,30,30
T0914,30,30,30
T0915,30,30,30
T0916,30,30,30
T0917,30,30,30
T0918,30,30,30
T0919,30,30,30
T0920,30,30,30
T0921,30,30,30
T0922,30,30,30
T0923,30,30,30
T0924,30,30,30
T0925,30,30,30
T0926,30,30,30
T0927,30,30,30
T0928,30,30,30
T0929,30,30,30
T0930,30,30,30
T0931,30,30,30
T0932,30,30,30
T0933,30,30,30
T0934,30,30,30
T0935,30,30,30
T0936,30,30,30
T0937,30,30,30
T0938,30,30,30
T0939,30,30,30
T0940,30,30,30
T0941,30,30,30
T0942,30,30,30
T0943,30,30,30
T0944,30,30,30
T0945,30,30,30
T0946,30,30,30
T0947,30,30,30
T0948,30,30,30
T0949,30,30,30
T0950,30,30,30
T0951,30,30,30
T0952,30,30,30
T0953,30,30,30
T0954,30,30,30
T0955,30,30,30
T0956,30,30,30
T0957,30,30,30
T0958,30,30,30
T0959,30,30,30
T0960,30,30,30
T0961,30,30,30
T0962,30,30,30
T0963,30,30,30
T0964,30,30,30
T0965,30,30,30
T0966,30,30,30
T0967,30,30,30
T0968,30,30,30
T0969,30,30,30
T0970,30,30,30
T0971,30,30,30
T0972,30,30,30
T0973,30,30,30
T0974,30,30,30
T0975,30,30,30
T0976,30,30,30
T0977,30,30,30
T0978,30,30,30
T0979,30,30,30
T0980,30,30,30
T0981,30,30,30
T0982,30,30,30
T0983,30,30,30
T0984,30,30,30
T0985,30,30,30
T0986,30,30,30
T0987,30,30,30
T0988,30,30,30
T0989,30,30,30
T0990,30,30,30
T0991,30,30,30
T0992,30,30,30
T0993,30,30,30
T0994,30,30,30
T0995,30,30,30
T0996,30,30,30
T0997,30,30,30
T0998,30,30,30
T0999,30,30,30
T1000,30,30,30
T1001,30,30,30
T1002,30,30,30
T1003,30,30,30
T1004,30,30,30
T1005,30,30,30
T1006,30,30,30
T1007,30,30,30
T1008,30,30,30
T1009,30,30,30
T1010,30,30,30
T1011,30,30,30
T1012,30,30,30
T1013,30,30,30
T1014,30,30,30
T1015,30,30,30
T1016,30,30,30
T1017,30,30,30
T1018,30,30,30
T1019,30,30,30
T1020,30,30,30
T1021,30,30,30
T1022,30,30,30
T1023,30,30,30
T1024,30,30,30
T1025,30,30,30
T1026,30,30,30
T1027,30,30,30
T1028,30,30,30
T1029,30,30,30
T1030,30,30,30
T1031,30,30,30
T1032,30,30,30
T1033,30,30,30
T1034,30,30,30
T1035,30,30,30
T1036,30,30,30
T1037,30,30,30
T1038,30,30,30
T1039,30,30,30
T1040,30,30,30
T1041,30,30,30
T1042,30,30,30
T1043,30,30,30
T1044,30,30,30
T1045,30,30,30
T1046,30,30,30
T1047,30,30,30
T1048,30,30,30
T1049,30,30,30
T1050,30,30,30
T1051,30,30,30
T1052,30,30,30
T1053,30,30,30
T1054,30,30,30
T1055,30,30,30
T1056,30,30,30
T1057,30,30,30
T1058,30,30,30
T1059,30,30,30
T1060,30,30,30
T1061,30,30,30
T1062,30,30,30
T1063,30,30,30
T1064,30,30,30
T1065,30,30,30
T1066,30,30,30
T1067,30,30,30
T1068,30,30,30
T1069,30,30,30
T1070,30,30,30
T1071,30,30,30
T1072,30,30,30
T1073,30,30,30
T1074,30,30,30
T1075,30,30,30
T1076,30,30,30
T1077,30,30,30
T1078,30,30,30
T1079,30,30,30
T1080,30,30,30
T1081,30,30,30
T1082,30,30,30
T1083,30,30,30
T1084,30,30,30
T1085,30,30,30
T1086,30,30,30
T1087,30,30,30
T1088,30,30,30
T1089,30,30,30
T1090,30,30,30
T1091,30,30,30
T1092,30,30,30
T1093,30,30,30
T1094,30,30,30
T1095,30,30,30
T1096,30,30,30
T1097,30,30,30
T1098,30,30,30
T1099,30,30,30
T1100,30,30,30
T1101,30,30,30
T1102,30,30,30
T1103,30,30,30
T1104,30,30,30
T1105,30,30,30
T1106,30,30,30
T1107,30,30,30
T1108,30,30,30
T1109,30,30,30
T1110,30,30,30
T1111,30,30,30
T1112,30,30,30
T1113,30,30,30
T1114,30,30,30
T1115,30,30,30
T1116,30,30,30
T1117,30,30,30
T1118,30,30,30
T1119,30,30,30
T1120,30,30,30
T1121,30,30,30
T1122,30,30,30
T1123,30,30,30
T1124,30,30,30
T1125,30,30,30
T1126,30,30,30
T1127,30,30,30
T1128,30,30,30
T1129,30,30,30
T1130,30,30,30
T1131,30,30,30
T1132,30,30,30
T1133,30,30,30
T1134,30,30,30
T1135,30,30,30
T1136,30,30,30
T1137,30,30,30
T1138,30,30,30
T1139,30,30,30
T1140,30,30,30
T1141,30,30,30
T1142,30,30,30
T1143,30,30,30
T1144,30,30,30
T1145,30,30,30
T1146,30,30,30
T1147,30,30,30
T1148,30,30,30
T1149,30,30,30
T1150,30,30,30
T1151,30,30,30
T1152,30,30,30
T1153,30,30,30
T1154,30,30,30
T1155,30,30,30
T1156,30,30,30
T1157,30,30,30
T1158,30,30,30
T1159,30,30,30
T1160,30,30,30
T1161,30,30,30
T1162,30,30,30
T1163,30,30,30
T1164,30,30,30
T1165,30,30,30
T1166,30,30,30
T1167,30,30,30
T1168,30,30,30
T1169,30,30,30
T1170,30,30,30
T1171,30,30,30
T1172,30,30,30
T1173,30,30,30
T1174,30,30,30
T1175,30,30,30
T1176,30,30,30
T1177,30,30,30
T1178,30,30,30
T1179,30,30,30
