,D1,D2,D3
T6596,3.4478512867921,4.13984303926557,5.64359496663145
T6597,3.44767082454101,4.13960986447949,5.64319617255263
T6598,3.44749031059298,4.13937662475478,5.64279727885212
T6599,3.44730974506294,4.13914332024151,5.64239828579565
T6600,3.44712912806615,4.13890995109019,5.64199919364965
T6601,3.44694845971764,4.138676517451,5.64160000267996
T6602,3.44676774013243,4.13844301947411,5.64120071315239
T6603,3.44658696942566,4.13820945730987,5.64080132533299
T6604,3.44640614771239,4.13797583110847,5.64040183948756
T6605,3.44622527510774,4.13774214102024,5.64000225588207
T6606,3.4460443517267,4.13750838719525,5.63960257478205
T6607,3.44586337768437,4.13727456978381,5.63920279645337
T6608,3.44568235309583,4.13704068893611,5.63880292116174
T6609,3.44550127807608,4.1368067448023,5.63840294917268
T6610,3.44532015274016,4.13657273753251,5.63800288075174
T6611,3.44513897720315,4.13633866727698,5.63760271616456
T6612,3.44495775158005,4.13610453418581,5.63720245567654
T6613,3.44477647598593,4.1358703384092,5.63680209955323
T6614,3.44459515053577,4.13563608009722,5.63640164805991
T6615,3.44441377534459,4.13540175939998,5.63600110146193
T6616,3.44423235052744,4.13516737646764,5.63560046002467
T6617,3.44405087619923,4.13493293145016,5.63519972401318
T6618,3.44386935247506,4.13469842449779,5.63479889369289
T6619,3.44368777946984,4.13446385576043,5.63439796932872
T6620,3.44350615729864,4.13422922538828,5.63399695118598
T6621,3.44332448607645,4.13399453353138,5.63359583952973
T6622,3.44314276591808,4.13375978033956,5.63319463462464
T6623,3.44296099693871,4.1335249659631,5.63279333673608
T6624,3.4427791792531,4.13329009055176,5.63239194612857
T6625,3.44259731297629,4.13305515425562,5.63199046306708
T6626,3.44241539822323,4.13282015722467,5.63158888781646
T6627,3.44223343510886,4.13258509960888,5.63118722064144
T6628,3.44205142374808,4.13234998155815,5.63078546180664
T6629,3.44186936425584,4.13211480322245,5.63038361157678
T6630,3.44168725674707,4.13187956475172,5.62998167021645
T6631,3.44150510133664,4.1316442662958,5.62957963799012
T6632,3.44132289813948,4.13140890800464,5.62917751516232
T6633,3.44114064727043,4.13117349002805,5.6287753019974
T6634,3.44095834884444,4.13093801251594,5.62837299875982
T6635,3.44077600297631,4.13070247561811,5.6279706057138
T6636,3.44059360978098,4.13046687948444,5.6275681231237
T6637,3.44041116937327,4.13023122426471,5.6271655512537
T6638,3.44022868186812,4.12999551010884,5.62676289036812
T6639,3.44004614738018,4.12975973716636,5.62636014073068
T6640,3.43986356602449,4.1295239055873,5.62595730260582
T6641,3.43968093791575,4.12928801552127,5.62555437625732
T6642,3.43949826316888,4.12905206711812,5.62515136194931
T6643,3.4393155418986,4.12881606052748,5.62474825994551
T6644,3.43913277421971,4.12857999589903,5.62434507050972
T6645,3.43894996024706,4.12834387338256,5.62394179390585
T6646,3.43876710009541,4.12810769312771,5.62353843039759
T6647,3.4385841938795,4.12787145528409,5.62313498024851
T6648,3.43840124171412,4.1276351600014,5.62273144372231
T6649,3.43821824371406,4.12739880742928,5.62232782108257
T6650,3.43803519999403,4.12716239771731,5.62192411259275
T6651,3.43785211066879,4.12692593101512,5.62152031851631
T6652,3.43766897585305,4.12668940747226,5.62111643911662
T6653,3.43748579566147,4.12645282723821,5.62071247465686
T6654,3.43730257020884,4.12621619046264,5.62030842540049
T6655,3.43711929960989,4.1259794972951,5.6199042916108
T6656,3.4369359839792,4.12574274788496,5.61950007355068
T6657,3.43675262343149,4.12550594238176,5.61909577148332
T6658,3.43656921808148,4.12526908093507,5.61869138567191
T6659,3.43638576804375,4.12503216369422,5.6182869163792
T6660,3.43620227343299,4.12479519080871,5.61788236386823
T6661,3.43601873436382,4.12455816242794,5.61747772840183
T6662,3.43583515095093,4.1243210787014,5.61707301024294
T6663,3.43565152330883,4.12408393977834,5.61666820965406
T6664,3.43546785155219,4.12384674580819,5.61626332689799
T6665,3.43528413579558,4.12360949694029,5.61585836223734
T6666,3.4351003761536,4.12337219332397,5.61545331593467
T6667,3.43491657274084,4.12313483510857,5.61504818825253
T6668,3.43473272567187,4.12289742244341,5.61464297945341
T6669,3.43454883506111,4.12265995547758,5.61423768979936
T6670,3.43436490102324,4.12242243436052,5.61383231955303
T6671,3.43418092367276,4.12218485924143,5.61342686897662
T6672,3.43399690312413,4.12194723026944,5.61302133833218
T6673,3.43381283949198,4.12170954759391,5.61261572788212
T6674,3.43362873289063,4.12147181136381,5.61221003788815
T6675,3.43344458343469,4.12123402172846,5.61180426861257
T6676,3.43326039123863,4.12099617883697,5.61139842031728
T6677,3.43307615641682,4.12075828283838,5.61099249326402
T6678,3.43289187908375,4.12052033388182,5.61058648771468
T6679,3.43270755935384,4.12028233211637,5.61018040393101
T6680,3.43252319734158,4.12004427769116,5.60977424217485
T6681,3.43233879316132,4.11980617075516,5.60936800270771
T6682,3.43215434692742,4.11956801145732,5.60896168579105
T6683,3.43196985875435,4.11932979994676,5.60855529168656
T6684,3.43178532875645,4.11909153637242,5.60814882065566
T6685,3.43160075704801,4.11885322088314,5.60774227295953
T6686,3.43141614374349,4.11861485362803,5.60733564885975
T6687,3.43123148895718,4.11837643475593,5.60692894861746
T6688,3.43104679280333,4.11813796441563,5.60652217249369
T6689,3.43086205539632,4.11789944275611,5.60611532074972
T6690,3.43067727685047,4.11766086992624,5.60570839364665
T6691,3.43049245728,4.11742224607477,5.60530139144534
T6692,3.43030759679917,4.1171835713505,5.6048943144067
T6693,3.43012269552228,4.11694484590226,5.60448716279166
T6694,3.42993775356359,4.11670606987883,5.60407993686106
T6695,3.42975277103727,4.11646724342889,5.6036726368755
T6696,3.42956774805755,4.11622836670116,5.60326526309565
T6697,3.42938268473862,4.11598943984434,5.60285781578211
T6698,3.4291975811947,4.11575046300714,5.60245029519546
T6699,3.42901243753993,4.11551143633815,5.60204270159607
T6700,3.42882725388851,4.11527235998606,5.60163503524441
T6701,3.42864203035457,4.11503323409946,5.60122729640078
T6702,3.42845676705215,4.11479405882682,5.60081948532526
T6703,3.42827146409551,4.11455483431686,5.6004116022783
T6704,3.42808612159863,4.11431556071798,5.60000364751978
T6705,3.42790073967569,4.1140762381788,5.59959562130993
T6706,3.4277153184407,4.11383686684774,5.59918752390863
T6707,3.42752985800777,4.11359744687331,5.59877935557584
T6708,3.4273443584909,4.11335797840391,5.59837111657133
T6709,3.42715882000409,4.11311846158791,5.59796280715483
T6710,3.42697324266137,4.11287889657375,5.59755442758607
T6711,3.42678762657685,4.1126392835099,5.59714597812489
T6712,3.42660197186439,4.11239962254459,5.59673745903062
T6713,3.42641627863798,4.11215991382613,5.59632887056275
T6714,3.42623054701151,4.11192015750277,5.59592021298063
T6715,3.42604477709905,4.11168035372293,5.59551148654383
T6716,3.42585896901449,4.11144050263483,5.59510269151163
T6717,3.42567312287163,4.11120060438655,5.59469382814294
T6718,3.42548723878447,4.11096065912642,5.59428489669715
T6719,3.42530131686684,4.11072066700257,5.59387589743326
T6720,3.42511535723267,4.11048062816323,5.59346683061038
T6721,3.42492935999567,4.11024054275634,5.59305769648713
T6722,3.42474332526974,4.11000041093013,5.59264849532258
T6723,3.42455725316869,4.10976023283264,5.59223922737545
T6724,3.42437114380633,4.10952000861192,5.59182989290447
T6725,3.4241849972964,4.10927973841599,5.59142049216823
T6726,3.42399881375267,4.10903942239281,5.59101102542528
T6727,3.42381259328893,4.10879906069044,5.59060149293421
T6728,3.42362633601887,4.10855865345674,5.59019189495332
T6729,3.42344004205618,4.10831820083962,5.58978223174093
T6730,3.42325371151457,4.10807770298699,5.58937250355533
T6731,3.42306734450776,4.10783716004677,5.58896271065481
T6732,3.42288094114936,4.10759657216671,5.58855285329735
T6733,3.42269450155304,4.10735593949467,5.58814293174104
T6734,3.42250802583247,4.10711526217848,5.58773294624397
T6735,3.42232151410113,4.10687454036574,5.58732289706373
T6736,3.42213496647276,4.10663377420437,5.58691278445846
T6737,3.42194838306082,4.10639296384192,5.58650260868566
T6738,3.42176176397899,4.10615210942621,5.58609237000323
T6739,3.4215751093407,4.10591121110477,5.58568206866855
T6740,3.4213884192595,4.10567026902525,5.58527170493921
T6741,3.42120169384891,4.10542928333525,5.58486127907263
T6742,3.42101493322246,4.1051882541824,5.5844507913263
